ip,port,location,ping,type,anonymity
103.36.35.197,4145,Indonesia,1220,SOCKS4,High
103.20.191.242,4145,Indonesia,1200,SOCKS4,High
110.139.168.54,4145,Indonesia,1420,SOCKS4,High
43.247.33.230,4145,Indonesia,1180,SOCKS4,High
116.0.6.89,4145,Indonesia,1120,SOCKS4,High
103.20.191.242,4145,Indonesia,1200,SOCKS4,High
110.139.168.54,4145,Indonesia,1420,SOCKS4,High
43.247.33.230,4145,Indonesia,1180,SOCKS4,High
116.0.6.89,4145,Indonesia,1120,SOCKS4,High
103.9.145.182,4145,Indonesia,1120,SOCKS4,High
103.78.27.214,4145,Indonesia,1380,SOCKS4,High
103.53.3.121,4145,Indonesia,1000,SOCKS4,High
103.232.65.61,4145,Indonesia,1120,SOCKS4,High
103.228.117.244,8080,Indonesia,1160,HTTP,No
103.23.141.213,4145,Indonesia,2440,SOCKS4,High
183.81.156.200,4145,Indonesia,1760,SOCKS4,High
103.76.151.10,4145,Indonesia,1300,SOCKS4,High
103.94.7.250,4145,Indonesia,1800,SOCKS4,High
103.107.84.14,4145,Indonesia,1380,SOCKS4,High
43.225.66.2,4145,Indonesia,1160,SOCKS4,High
180.250.243.250,4145,Indonesia,1380,SOCKS4,High
110.50.84.56,4145,Indonesia,2260,SOCKS4,High
103.253.1.185,4145,Indonesia,1420,SOCKS4,High
27.123.7.201,4145,Indonesia,880,SOCKS4,High
203.190.43.230,4145,Indonesia,1300,SOCKS4,High
180.250.54.165,4145,Indonesia,1280,SOCKS4,High
103.31.233.137,4145,Indonesia,1120,SOCKS4,High
139.255.113.242,51372,Indonesia,1060,SOCKS4,High
139.193.40.105,1080,Indonesia,1060,SOCKS4,High
139.255.16.171,47443,Indonesia,1040,SOCKS4,High
139.255.92.26,1080,Indonesia,1060,SOCKS4,High
160.202.42.188,4145,Indonesia,1400,SOCKS4,High
180.254.241.172,4145,Indonesia,1220,SOCKS4,High
202.169.248.132,4145,Indonesia,1420,SOCKS4,High
202.154.41.106,4145,Indonesia,1460,SOCKS4,High
103.241.178.65,4145,Indonesia,2280,SOCKS4,High
103.234.255.94,4145,Indonesia,1260,SOCKS4,High
103.83.178.174,4145,Indonesia,1100,SOCKS4,High
210.57.215.194,4145,Indonesia,1200,SOCKS4,High
202.56.165.213,4145,Indonesia,1240,SOCKS4,High
202.158.45.141,4145,Indonesia,1220,SOCKS4,High
202.146.183.126,4145,Indonesia,1300,SOCKS4,High
180.178.109.62,4145,Indonesia,1220,SOCKS4,High
103.95.8.226,4145,Indonesia,1240,SOCKS4,High
103.94.133.65,4145,Indonesia,1140,SOCKS4,High
103.8.56.193,4145,Indonesia,1160,SOCKS4,High
103.14.20.6,4145,Indonesia,1200,SOCKS4,High
36.67.143.49,4145,Indonesia,2480,SOCKS4,High
103.111.55.94,4145,Indonesia,1780,SOCKS4,High
103.228.119.81,4145,Indonesia,1580,SOCKS4,High
103.95.160.9,4145,Indonesia,1100,SOCKS4,High
103.77.159.58,4145,Indonesia,1500,SOCKS4,High
103.12.114.38,4145,Indonesia,1180,SOCKS4,High
103.232.67.238,4145,Indonesia,1180,SOCKS4,High
202.87.248.134,4145,Indonesia,1120,SOCKS4,High
202.150.174.216,4145,Indonesia,1240,SOCKS4,High
116.0.6.241,4145,Indonesia,1160,SOCKS4,High
103.8.57.161,4145,Indonesia,1140,SOCKS4,High
103.36.11.152,4145,Indonesia,1240,SOCKS4,High
103.234.209.2,4145,Indonesia,1140,SOCKS4,High
49.236.220.106,51372,Indonesia,1000,SOCKS4,High
125.162.12.46,1080,Indonesia,1340,SOCKS4,High
123.231.242.114,51372,Indonesia,1500,SOCKS4,High
123.231.228.186,51372,Indonesia,1220,SOCKS4,High
203.130.215.146,1080,Indonesia,1420,SOCKS4,High
103.109.3.204,4145,Indonesia,1120,SOCKS4,High
103.225.172.31,4145,Indonesia,1340,SOCKS4,High
